ID,Lead Status,Status,Lead Stage,Territory,Series,Salutation,First Name,Middle Name,Last Name,Job Title,Gender,Source,Lead Priority,Lead Owner,Lead Category,Request Type,Email,Website,Mobile No,WhatsApp,Phone,Phone Ext.,Alternate Phone(s),Organization Name,No of Employees,CASE Officer Remark,CASE Officer Note,Market Segment,Industry Type,Fax,Pincode,City,State/Province,Country,Ship To Address,Bill To Address,Full Address,Qualification Status,Qualified By,Qualified on,Annual Revenue
LEAD-2025-00025,Potential Lead,Opportunity,S: Sampling,Sales MG HQ - Alice Williams,CRM-LEAD-.YYYY.-,Mr,Vijay,Mohan,Agarwal,Managing Partner,Male,Exhibition,Top Review,user11@example.com,AA,Other,vijay.agarwal@textiles.com,,9876509876,9876509876,02033445577,150,9876509877,Textiles Export House,201-500,Textile exports,Sample approval pending,Middle Income,Textiles (Wool, Cotton, Synthetic),02033445578,411004,Pune,Maharashtra,India,2222 Textile Hub,2222 Textile Hub,2222 Textile Hub Hadapsar Pune Maharashtra 411004,In Process,user11@example.com,01-03-2025,46000000
LEAD-2025-00026,Initial Lead,Quotation,Q: Quotation Sent,Marketing North,CRM-LEAD-.YYYY.-,Mrs,Swati,Kumari,Mehta,Purchase Director,Female,Cold Calling,,user12@example.com,C,Product Enquiry,swati.mehta@glass.com,www.glass.com,9123456098,9123456098,08033445577,220,,Glass Manufacturing Ltd,501-1000,Glass products,Quote under evaluation,Lower Income,Glass Manufacturing,08033445578,560058,Bangalore,Karnataka,India,2323 Glass Works,2323 Glass Works,2323 Glass Works Bommasandra Bangalore Karnataka 560058,In Process,user12@example.com,03-03-2025,54000000
LEAD-2025-00027,Market Converted Lead,Interested,VR: Vendor Registration,North Et,CRM-LEAD-.YYYY.-,Mr,Harish,Raj,Kapoor,General Manager,Male,Reference,,user13@example.com,AAA,Request for Information,harish.kapoor@mining.com,www.mining.com,9988887123,9988887123,04044445566,305,9988887124,Mining & Minerals Corp,1000+,Mining operations,Vendor registration complete,Upper Income,Mining & Minerals,04044445567,500044,Hyderabad,Telangana,India,2424 Mining Zone,2424 Mining Zone,2424 Mining Zone Shamshabad Hyderabad Telangana 500044,Qualified,user13@example.com,05-03-2025,92000000
LEAD-2025-00028,New Development Lead,Converted,OR: Order Received,Sales MG HQ - All,CRM-LEAD-.YYYY.-,Dr,Shilpa,Rani,Bose,Chief Technologist,Female,Existing Customer,Top Review,user14@example.com,B,Suggestions,shilpa.bose@polymers.com,,9876598789,9876598789,07912345689,401,9876598790,Polymer Industries Ltd,51-200,Polymer manufacturing,Order placed,Middle Income,Plastic & Rubber Products Manufacturing,07912345690,380008,Ahmedabad,Gujarat,India,2525 Polymer Park,2525 Polymer Park,2525 Polymer Park Vatva Ahmedabad Gujarat 380008,Qualified,user14@example.com,07-03-2025,41000000
LEAD-2025-00029,Existing Lead,Lead,I: Introduction by various options,Marketing Central,CRM-LEAD-.YYYY.-,Mr,Prakash,Singh,Rathore,Factory Manager,Male,Advertisement,,user1@example.com,A,Product Enquiry,prakash.rathore@sugar.com,www.sugar.com,9123654123,9123654123,04844556699,150,,Sugar Mills Ltd,201-500,Sugar production,Initial discussion held,Lower Income,Sugar Industry,04844556700,600028,Chennai,Tamil Nadu,India,2626 Sugar Factory,2626 Sugar Factory,2626 Sugar Factory Guindy Chennai Tamil Nadu 600028,Unqualified,user1@example.com,,34000000
LEAD-2025-00030,Initial Lead,Open,TD: Telephonic Discussion,Sales MG HQ - Charlie Brown,CRM-LEAD-.YYYY.-,Ms,Anjali,Devi,Nambiar,VP Operations,Female,Customer's Vendor,Top Review,user2@example.com,AA,Request for Information,anjali.nambiar@logistics.com,www.logistics.com,9988776098,9988776098,02212312356,220,,Logistics & Warehousing Co,1000+,Logistics solutions,Phone discussion scheduled,Upper Income,Warehousing & Storage,02212312357,400037,Mumbai,Maharashtra,India,2727 Warehouse Complex,2727 Warehouse Complex,2727 Warehouse Complex Kurla Mumbai Maharashtra 400037,In Process,user2@example.com,09-03-2025,64000000
LEAD-2025-00031,Potential Lead,Replied,V: Visited,All Territories,CRM-LEAD-.YYYY.-,Mr,Sunil,Kumar,Patel,Business Owner,Male,Reference(MD Sir),,user3@example.com,AAA,Other,sunil.patel@ceramics.com,,9876501098,9876501098,02612345680,305,9876501099,Ceramics Manufacturing,51-200,Ceramic products,Factory inspection done,Middle Income,Ceramics,02612345681,411018,Pune,Maharashtra,India,2828 Ceramic Works,2828 Ceramic Works,2828 Ceramic Works Chakan Pune Maharashtra 411018,Qualified,user3@example.com,11-03-2025,29000000
LEAD-2025-00032,Market Converted Lead,Opportunity,S: Sampling,Marketing North,CRM-LEAD-.YYYY.-,Mrs,Latha,Kumari,Iyer,Technical Manager,Female,Walk In,,user4@example.com,B,Product Enquiry,latha.iyer@paints.com,www.paints.com,9123789098,9123789098,08022345689,401,,Paints & Coatings Ltd,201-500,Paint manufacturing,Sample testing underway,Lower Income,Chemical Manufacturing,08022345690,560045,Bangalore,Karnataka,India,2929 Paint Factory,2929 Paint Factory,2929 Paint Factory Yelahanka Bangalore Karnataka 560045,In Process,user4@example.com,13-03-2025,37000000
LEAD-2025-00033,Initial Lead,Quotation,Q: Quotation Sent,Sales MG HQ - John Smith,CRM-LEAD-.YYYY.-,Mr,Ramesh,Mohan,Pillai,Director Sales,Male,Mass Mailing,Top Review,user5@example.com,C,Suggestions,ramesh.pillai@seafood.com,,9988112098,9988112098,04044556699,150,9988112099,Seafood Processing Co,501-1000,Seafood export,Quotation provided,Upper Income,Seafood / Marine Products,04044556700,500013,Hyderabad,Telangana,India,3030 Marine Plaza,3030 Marine Plaza,3030 Marine Plaza Nampally Hyderabad Telangana 500013,In Process,user5@example.com,15-03-2025,58000000
LEAD-2025-00034,New Development Lead,Interested,Tr: Trial Done,IT SP - Bob Johnson,CRM-LEAD-.YYYY.-,Dr,Divya,Rani,Saxena,R&D Head,Female,Supplier Reference,,user6@example.com,AAA,Request for Information,divya.saxena@agrochemicals.com,www.agrochemicals.com,9876567098,9876567098,03312345689,220,,Agrochemicals Corporation,51-200,Agrochemical products,Trial completed successfully,Middle Income,Agrochemicals / Pesticides,03312345690,700156,Kolkata,West Bengal,India,3131 Agro Complex,3131 Agro Complex,3131 Agro Complex Rajarhat Kolkata West Bengal 700156,Qualified,user6@example.com,17-03-2025,33000000
LEAD-2025-00035,Existing Lead,Converted,OR: Order Received,Marketing Central- Jane Doe,CRM-LEAD-.YYYY.-,Mr,Naveen,Singh,Kumar,Plant Head,Male,Campaign,Top Review,user7@example.com,AA,Product Enquiry,naveen.kumar@paper.com,www.paper.com,9123321098,9123321098,01122334477,305,,Paper Products Ltd,1000+,Paper manufacturing,Purchase order received,Upper Income,Paper Products (Stationery, etc),01122334478,110096,New Delhi,Delhi,India,3232 Paper Mill,3232 Paper Mill,3232 Paper Mill Bawana New Delhi Delhi 110096,Qualified,user7@example.com,19-03-2025,76000000
LEAD-2025-00036,Potential Lead,Lead,I: Introduction by various options,Sales MG HQ - Alice Williams,CRM-LEAD-.YYYY.-,Ms,Ritu,Devi,Banerjee,Procurement Head,Female,Exhibition,,user8@example.com,A,Other,ritu.banerjee@leather.com,,9988998098,9988998098,02287654334,401,9988998099,Leather Products Pvt Ltd,201-500,Leather goods,Initial inquiry received,Lower Income,Leather & Footwear,02287654335,400068,Mumbai,Maharashtra,India,3333 Leather Market,3333 Leather Market,3333 Leather Market Dharavi Mumbai Maharashtra 400068,Unqualified,user8@example.com,,27000000
LEAD-2025-00037,Initial Lead,Open,TD: Telephonic Discussion,Marketing North,CRM-LEAD-.YYYY.-,Mr,Arun,Kumar,Shah,Managing Director,Male,Cold Calling,Top Review,user9@example.com,B,Product Enquiry,arun.shah@jewellery.com,www.jewellery.com,9876509123,9876509123,02033445588,150,,Jewellery Manufacturing Co,11-50,Jewellery making,Discussion scheduled,Middle Income,Gems & Jewellery,02033445589,411011,Pune,Maharashtra,India,3434 Jewel Plaza,3434 Jewel Plaza,3434 Jewel Plaza Kothrud Pune Maharashtra 411011,In Process,user9@example.com,21-03-2025,24000000
LEAD-2025-00038,Market Converted Lead,Replied,V: Visited,North Et,CRM-LEAD-.YYYY.-,Mrs,Nisha,Kumari,Chopra,Operations Director,Female,Reference,,user10@example.com,AAA,Request for Information,nisha.chopra@beverages.com,www.beverages.com,9123456109,9123456109,08033445588,220,,Beverage Manufacturing Ltd,501-1000,Beverage production,Site visit arranged,Upper Income,Juice / Soft Drinks / Beverage Industry,08033445589,560100,Bangalore,Karnataka,India,3535 Beverage Park,3535 Beverage Park,3535 Beverage Park Kengeri Bangalore Karnataka 560100,Qualified,user10@example.com,23-03-2025,62000000
LEAD-2025-00039,New Development Lead,Opportunity,S: Sampling,Sales MG HQ - All,CRM-LEAD-.YYYY.-,Mr,Mohan,Raj,Srivastava,Technical Director,Male,Customer's Vendor,,user11@example.com,AA,Suggestions,mohan.srivastava@robotics.com,,9988887098,9988887098,04044445577,305,9988887099,Robotics Manufacturing Co,51-200,Robotics solutions,Sample evaluation ongoing,Middle Income,Robotics Manufacturing,04044445578,500070,Hyderabad,Telangana,India,3636 Tech Park,3636 Tech Park,3636 Tech Park Madhapur Hyderabad Telangana 500070,In Process,user11@example.com,25-03-2025,39000000
LEAD-2025-00040,Existing Lead,Quotation,Q: Quotation Sent,Marketing Central,CRM-LEAD-.YYYY.-,Dr,Kaveri,Rani,Menon,Lab Manager,Female,Reference(MD Sir),Top Review,user12@example.com,C,Product Enquiry,kaveri.menon@medicaldevices.com,www.medicaldevices.com,9876598098,9876598098,07912345690,401,,Medical Devices Co,201-500,Medical equipment,Quote submitted,Lower Income,Medical Devices & Instruments,07912345691,380013,Ahmedabad,Gujarat,India,3737 Medical Complex,3737 Medical Complex,3737 Medical Complex CG Road Ahmedabad Gujarat 380013,In Process,user12@example.com,27-03-2025,43000000
LEAD-2025-00041,Initial Lead,Interested,VR: Vendor Registration,Sales MG HQ - Charlie Brown,CRM-LEAD-.YYYY.-,Mr,Santosh,Singh,Tiwari,Works Manager,Male,Walk In,,user13@example.com,AAA,Request for Information,santosh.tiwari@foundry.com,,9123654098,9123654098,04844556710,150,9123654099,Foundry Works Ltd,1000+,Metal casting,Vendor process initiated,Upper Income,Metal Fabrication & Foundry,04844556711,600058,Chennai,Tamil Nadu,India,3838 Foundry Zone,3838 Foundry Zone,3838 Foundry Zone Pallavaram Chennai Tamil Nadu 600058,Qualified,user13@example.com,29-03-2025,81000000
LEAD-2025-00042,Potential Lead,Converted,OR: Order Received,All Territories,CRM-LEAD-.YYYY.-,Ms,Priyanka,Devi,Joshi,Business Manager,Female,Advertisement,Top Review,user14@example.com,B,Other,priyanka.joshi@renewable.com,www.renewable.com,9988776109,9988776109,02212312367,220,,Renewable Energy Systems,51-200,Renewable energy,Order finalized,Middle Income,Renewable Energy (Solar, Wind, Hydro),02212312368,400042,Mumbai,Maharashtra,India,3939 Energy Park,3939 Energy Park,3939 Energy Park Borivali Mumbai Maharashtra 400042,Qualified,user14@example.com,31-03-2025,49000000
LEAD-2025-00043,Market Converted Lead,Lead,I: Introduction by various options,Marketing North,CRM-LEAD-.YYYY.-,Mr,Vinod,Kumar,Pandey,Factory Owner,Male,Mass Mailing,,user1@example.com,A,Product Enquiry,vinod.pandey@spices.com,www.spices.com,9876501109,9876501109,02612345691,305,,Spice Processing Mills,201-500,Spice manufacturing,Introduction call done,Lower Income,Spice Processing / Masala Industry,02612345692,411043,Pune,Maharashtra,India,4040 Spice Market,4040 Spice Market,4040 Spice Market Katraj Pune Maharashtra 411043,Unqualified,user1@example.com,,31000000
LEAD-2025-00044,Initial Lead,Open,TD: Telephonic Discussion,IT SP - Bob Johnson,CRM-LEAD-.YYYY.-,Mrs,Seema,Kumari,Agarwal,Purchase Manager,Female,Supplier Reference,Top Review,user2@example.com,AA,Suggestions,seema.agarwal@handicrafts.com,,9123789109,9123789109,08022345700,401,9123789110,Handicrafts Export Co,11-50,Handicraft products,Discussion in pipeline,Upper Income,Handicrafts/Art & Crafts,08022345701,560003,Bangalore,Karnataka,India,4141 Craft Center,4141 Craft Center,4141 Craft Center MG Road Bangalore Karnataka 560003,In Process,user2@example.com,02-04-2025,19000000
LEAD-2025-00045,New Development Lead,Replied,V: Visited,Marketing Central- Jane Doe,CRM-LEAD-.YYYY.-,Mr,Tarun,Mohan,Bhat,Operations Head,Male,Campaign,,user3@example.com,AAA,Request for Information,tarun.bhat@recycling.com,www.recycling.com,9988112109,9988112109,04044556710,150,,Recycling Solutions Ltd,501-1000,Waste recycling,Facility tour completed,Middle Income,Recycling & Waste Management,04044556711,500048,Hyderabad,Telangana,India,4242 Recycle Zone,4242 Recycle Zone,4242 Recycle Zone LB Nagar Hyderabad Telangana 500048,Qualified,user3@example.com,04-04-2025,47000000
